Aggregating data for Patches: ['16.5', '16.4', '16.3', '16.2', '16.1'] and Tiers: ['emerald', 'diamond']...
Aggregation complete. Analyzed 10 files.


=== 0 - 15 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
10    kogmaw               56.95%    23173
11    urgot                56.35%    39703
12    vex                  56.27%    45993
13    heimerdinger         56.17%    13530
14    lux                  56.14%    62923
15    brand                56.14%    32424
16    zyra                 55.77%    33506
17    anivia               55.74%    49174
18    reksai               55.71%    40410
19    naafiri              55.44%    61573
20    sion                 55.35%    66810
21    jinx                 55.08%   292217
22    trundle              54.89%    20876
23    ekko                 54.84%   114266
24    elise                54.82%    41100
25    fiddlesticks         54.82%    36869
26    warwick              54.73%    33540
27    yasuo                54.73%   149529
28    neeko                54.69%    41646
29    xerath               54.55%    64150
30    ashe                 54.43%   114384
31    fizz                 54.29%    64272
32    viktor               54.26%   101170
33    leesin               54.22%   187520
34    garen                54.18%    93661
35    zoe                  54.06%    56698
36    morgana              53.97%    63432
37    ahri                 53.89%   183701
38    nami                 53.85%   231974
39    swain                53.84%    43206
40    olaf                 53.82%    35739
41    volibear             53.79%    73663
42    briar                53.78%    68159
43    pyke                 53.78%    87431
44    leona                53.73%   119176
45    twistedfate          53.72%    87410
46    zac                  53.58%    56306
47    katarina             53.53%   127222
48    malphite             53.46%    97212
49    nocturne             53.45%    62275
50    ezreal               53.30%   247679
51    karma                53.27%   156442
52    seraphine            53.26%    66104
53    akshan               53.25%    45703
54    malzahar             53.23%    89694
55    sett                 53.21%    84818
56    varus                53.18%    73934
57    udyr                 53.15%    26057
58    amumu                53.14%    35153
59    corki                53.14%    51397
60    nidalee              52.94%    33375
61    shyvana              52.89%    18872
62    thresh               52.88%   216944
63    fiora                52.88%    65816
64    nilah                52.75%    36117
65    gnar                 52.74%    62948
66    taric                52.72%    24056
67    ivern                52.71%    19926
68    hwei                 52.69%    45653
69    senna                52.65%    75041
70    mordekaiser          52.65%    79075
71    kindred              52.61%    34444
72    janna                52.52%    69994
73    sejuani              52.48%    27947
74    caitlyn              52.32%   279525
75    draven               52.31%    66991
76    sona                 52.30%   101772
77    kennen               52.29%    44667
78    wukong               52.24%    41745
79    sivir                52.22%   120279
80    renekton             52.22%    89007
